objective,nystrom_error,kpca_distortion,method
Bi-objective,0.04324290351710964,0.08681547141949701,nsga2
Bi-objective,0.04298363397914916,0.08828523254855365,nsga2
Bi-objective,0.043053027030123106,0.08746627493930627,nsga2
Bi-objective,0.04158287729608595,0.07982620850744453,nsga2
Bi-objective,0.04718931435880312,0.10009569466437071,nsga2
Bi-objective,0.05908366322505666,0.14730198443294087,nsga2
Bi-objective,0.06443050850706214,0.15346796121311673,nsga2
Bi-objective,0.0471365136563887,0.10089518716265232,nsga2
Bi-objective,0.0544871033905443,0.1324270899438811,nsga2
Bi-objective,0.07730644438702725,0.19746562703216577,nsga2
Bi-objective,0.06250731325357464,0.1510101411257405,nsga2
Bi-objective,0.0437407122795167,0.08930684835866824,nsga2
Bi-objective,0.05701913877175952,0.13909070699498843,nsga2
Bi-objective,0.04416459800249815,0.09042572940301437,nsga2
Bi-objective,0.05460489125240781,0.1317349648963743,nsga2
Bi-objective,0.06559512820213917,0.16718682939323876,nsga2
Bi-objective,0.0456789565773828,0.09539521589874361,nsga2
Bi-objective,0.05431580481315115,0.1275927038301305,nsga2
Bi-objective,0.08116606773225864,0.2155177406650539,nsga2
Bi-objective,0.07204294717476072,0.18061029174086587,nsga2
Bi-objective,0.053365465544628135,0.12040214471326793,nsga2
Bi-objective,0.06328448221058508,0.1604018443138394,nsga2
Bi-objective,0.05437252566413722,0.1269687290264487,nsga2
Bi-objective,0.05913208799568727,0.14596236133749238,nsga2
Bi-objective,0.05628483799279566,0.12732922535733746,nsga2
Bi-objective,0.04354170174357293,0.08623194067524233,nsga2
Bi-objective,0.0445110803982384,0.09352479350881403,nsga2
Bi-objective,0.04607101976071198,0.09843704436987162,nsga2
Bi-objective,0.04656686375232665,0.09975495696929795,nsga2
Bi-objective,0.053084533205157866,0.1263182337182115,nsga2
Bi-objective,0.0596829460157753,0.14151355455350237,nsga2
Bi-objective,0.05728710504170069,0.1436319087433651,nsga2
Bi-objective,0.045439039152754594,0.09557755029162933,nsga2
Bi-objective,0.07718342742879894,0.200447438541256,nsga2
Bi-objective,0.059044885423773584,0.14166226575646376,nsga2
Bi-objective,0.08799763550782846,0.22154031616988643,nsga2
Bi-objective,0.05435587680950755,0.12996720764217923,nsga2
Bi-objective,0.15684168355424205,0.3155634513168637,nsga2
Bi-objective,0.05747480559379122,0.14545971064837626,nsga2
Bi-objective,0.0438758791827403,0.09028361034624767,nsga2
Bi-objective,0.06282170579824083,0.16512991010633604,nsga2
Bi-objective,0.04649570024810685,0.10014567000820002,nsga2
Bi-objective,0.05642765462898843,0.13532674510607565,nsga2
Bi-objective,0.060808090367109324,0.14735338481027524,nsga2
Bi-objective,0.055804473887423954,0.13417186620757893,nsga2
Bi-objective,0.07359165624790222,0.17883636972671177,nsga2
Bi-objective,0.07935895028050732,0.21356801146012536,nsga2
Bi-objective,0.049531956923693936,0.11160240138271138,nsga2
Bi-objective,0.04926282233371799,0.1076564900035305,nsga2
Bi-objective,0.04444693118916657,0.09041926091231686,nsga2
MMD only,0.047993933754533834,0.09919343228646207,nsga2
MMD only,0.044810271702538235,0.09088731052871502,nsga2
MMD only,0.043768248062863356,0.08608248264408797,nsga2
MMD only,0.043768248062863356,0.08608248264408797,nsga2
MMD only,0.04677916733610567,0.09448473473890495,nsga2
MMD only,0.04627309246779519,0.09443577574836189,nsga2
MMD only,0.04233045120830544,0.0780737395619981,nsga2
MMD only,0.04320042585782942,0.08349737994033922,nsga2
MMD only,0.04605590625002525,0.09639769420961092,nsga2
MMD only,0.0428151141535276,0.08198189324669349,nsga2
MMD only,0.04620855071352705,0.09231792682220145,nsga2
MMD only,0.0468359456314903,0.09873123675584812,nsga2
MMD only,0.0690181432974698,0.15305538395448798,nsga2
MMD only,0.05474152113782461,0.12145368078293697,nsga2
MMD only,0.06040129376310289,0.13991993387339202,nsga2
MMD only,0.052355146228741614,0.11331722126871023,nsga2
MMD only,0.056616329048958976,0.12335048316326898,nsga2
MMD only,0.06207216193233991,0.14391648051271685,nsga2
MMD only,0.06021274942505726,0.13145528083086006,nsga2
MMD only,0.07268186848978851,0.16272972563771035,nsga2
MMD only,0.056078241085207745,0.12501767531697044,nsga2
MMD only,0.0550794105685889,0.12686634123123344,nsga2
MMD only,0.08957566279531762,0.19053398717979367,nsga2
MMD only,0.047068010317869245,0.09624138070074388,nsga2
MMD only,0.04307253849357669,0.08112541793278807,nsga2
MMD only,0.04305772149476812,0.08099967153099853,nsga2
MMD only,0.04229293382196502,0.08039694382176307,nsga2
MMD only,0.08523319152974637,0.18800963230928977,nsga2
MMD only,0.06887122673867624,0.15842016532375036,nsga2
MMD only,0.07219671461588581,0.16250268612226063,nsga2
MMD only,0.1177049125206823,0.23057740647986943,nsga2
MMD only,0.053386673008347894,0.11697912346560489,nsga2
MMD only,0.06568872375881357,0.1476514980472673,nsga2
MMD only,0.05155353682206912,0.11445874071119765,nsga2
MMD only,0.046595131969465985,0.09488876346764177,nsga2
MMD only,0.04834362212488724,0.09843502545635949,nsga2
MMD only,0.09253623129327257,0.19578000444070992,nsga2
MMD only,0.09174609969335946,0.18769641100669393,nsga2
MMD only,0.05830472367448771,0.13595170472086393,nsga2
MMD only,0.08967280387449894,0.190639269564342,nsga2
MMD only,0.04701775077492054,0.09511589074190697,nsga2
MMD only,0.051734237634610034,0.11384309847341971,nsga2
MMD only,0.12114551541132593,0.23453471314291136,nsga2
MMD only,0.1245504360616658,0.23760383489555087,nsga2
MMD only,0.0469020287288585,0.09942404323551017,nsga2
MMD only,0.04846335273743994,0.10026831988994254,nsga2
MMD only,0.054250461098601335,0.11921392812052524,nsga2
MMD only,0.13563018396812068,0.25619348574524575,nsga2
MMD only,0.06865073833515012,0.14979491533401793,nsga2
MMD only,0.05551040769906283,0.12106562287995853,nsga2
Sinkhorn only,0.041092007840925905,0.07813091920428761,nsga2
Sinkhorn only,0.04356051650526133,0.08799502377159166,nsga2
Sinkhorn only,0.04235543044450936,0.08293881427262761,nsga2
Sinkhorn only,0.05087813221982343,0.11400630348896293,nsga2
Sinkhorn only,0.04706700634597828,0.10094687697906934,nsga2
Sinkhorn only,0.042395860318691705,0.08464176426695348,nsga2
Sinkhorn only,0.06878983497111683,0.17122053843912177,nsga2
Sinkhorn only,0.04609542604950097,0.09705338656503078,nsga2
Sinkhorn only,0.06160940699114796,0.1479065877008696,nsga2
Sinkhorn only,0.051444213016572,0.11403465477605447,nsga2
Sinkhorn only,0.05858924138395538,0.14572767718527105,nsga2
Sinkhorn only,0.044241008123760604,0.08946296620879818,nsga2
Sinkhorn only,0.044242826904057966,0.09027798272241985,nsga2
Sinkhorn only,0.04179129338838632,0.08159330198889314,nsga2
Sinkhorn only,0.043280781750227766,0.08558335807766339,nsga2
Sinkhorn only,0.04986489286306338,0.11207733322321783,nsga2
Sinkhorn only,0.048155439022301474,0.10169325040059625,nsga2
Sinkhorn only,0.043605318372410835,0.08724913668677649,nsga2
Sinkhorn only,0.044934420141431605,0.09136943261961551,nsga2
Sinkhorn only,0.050327744322899486,0.11646749205754937,nsga2
Sinkhorn only,0.05505248425136965,0.12534238827012764,nsga2
Sinkhorn only,0.045052051810506234,0.09469761498971585,nsga2
Sinkhorn only,0.07213524409356145,0.17708949761543438,nsga2
Sinkhorn only,0.046459821294060254,0.09904332918268813,nsga2
Sinkhorn only,0.061263608033336615,0.1525749648622909,nsga2
Sinkhorn only,0.04439321951401454,0.08974816763296148,nsga2
Sinkhorn only,0.04724867384237115,0.10149498501948748,nsga2
Sinkhorn only,0.053887216178129395,0.11630199088462334,nsga2
Sinkhorn only,0.05430286218218742,0.1260069971345534,nsga2
Sinkhorn only,0.04163684049376299,0.0794082623943166,nsga2
Sinkhorn only,0.06282771890477931,0.15579369237435592,nsga2
Sinkhorn only,0.05723516777080461,0.13118699308895693,nsga2
Sinkhorn only,0.05621140711758761,0.12793552854625578,nsga2
Sinkhorn only,0.0638166133063722,0.15382682037081352,nsga2
Sinkhorn only,0.05815880198481576,0.13956253549322592,nsga2
Sinkhorn only,0.045220586444909755,0.09430604893035847,nsga2
Sinkhorn only,0.05634335754443925,0.13036200835557482,nsga2
Sinkhorn only,0.05156969301096425,0.11345461931475707,nsga2
Sinkhorn only,0.05405421074309054,0.12686684360390846,nsga2
Sinkhorn only,0.05304794298867944,0.1273774440791568,nsga2
Sinkhorn only,0.0484810366448605,0.10505919183903849,nsga2
Sinkhorn only,0.05255855258035033,0.11920039905706262,nsga2
Sinkhorn only,0.05091201410918665,0.11590261943277819,nsga2
Sinkhorn only,0.06163293179126144,0.15291085834340298,nsga2
Sinkhorn only,0.042913392190468705,0.08518273057869347,nsga2
Sinkhorn only,0.06143533519697919,0.1428297525680559,nsga2
Sinkhorn only,0.058157541704872695,0.13696521826278305,nsga2
Sinkhorn only,0.05344661276914433,0.12276743713654521,nsga2
Sinkhorn only,0.06155944775507648,0.14471956846098888,nsga2
Sinkhorn only,0.0511266653861298,0.11207442002668998,nsga2
