space,nystrom_error,kpca_distortion,method
VAE,0.04324290351710964,0.08681547141949701,nsga2
VAE,0.04298363397914916,0.08828523254855365,nsga2
VAE,0.043053027030123106,0.08746627493930627,nsga2
VAE,0.04158287729608595,0.07982620850744453,nsga2
VAE,0.04718931435880312,0.10009569466437071,nsga2
VAE,0.05908366322505666,0.14730198443294087,nsga2
VAE,0.06443050850706214,0.15346796121311673,nsga2
VAE,0.0471365136563887,0.10089518716265232,nsga2
VAE,0.0544871033905443,0.1324270899438811,nsga2
VAE,0.07730644438702725,0.19746562703216577,nsga2
VAE,0.06250731325357464,0.1510101411257405,nsga2
VAE,0.0437407122795167,0.08930684835866824,nsga2
VAE,0.05701913877175952,0.13909070699498843,nsga2
VAE,0.04416459800249815,0.09042572940301437,nsga2
VAE,0.05460489125240781,0.1317349648963743,nsga2
VAE,0.06559512820213917,0.16718682939323876,nsga2
VAE,0.0456789565773828,0.09539521589874361,nsga2
VAE,0.05431580481315115,0.1275927038301305,nsga2
VAE,0.08116606773225864,0.2155177406650539,nsga2
VAE,0.07204294717476072,0.18061029174086587,nsga2
VAE,0.053365465544628135,0.12040214471326793,nsga2
VAE,0.06328448221058508,0.1604018443138394,nsga2
VAE,0.05437252566413722,0.1269687290264487,nsga2
VAE,0.05913208799568727,0.14596236133749238,nsga2
VAE,0.05628483799279566,0.12732922535733746,nsga2
VAE,0.04354170174357293,0.08623194067524233,nsga2
VAE,0.0445110803982384,0.09352479350881403,nsga2
VAE,0.04607101976071198,0.09843704436987162,nsga2
VAE,0.04656686375232665,0.09975495696929795,nsga2
VAE,0.053084533205157866,0.1263182337182115,nsga2
VAE,0.0596829460157753,0.14151355455350237,nsga2
VAE,0.05728710504170069,0.1436319087433651,nsga2
VAE,0.045439039152754594,0.09557755029162933,nsga2
VAE,0.07718342742879894,0.200447438541256,nsga2
VAE,0.059044885423773584,0.14166226575646376,nsga2
VAE,0.08799763550782846,0.22154031616988643,nsga2
VAE,0.05435587680950755,0.12996720764217923,nsga2
VAE,0.15684168355424205,0.3155634513168637,nsga2
VAE,0.05747480559379122,0.14545971064837626,nsga2
VAE,0.0438758791827403,0.09028361034624767,nsga2
VAE,0.06282170579824083,0.16512991010633604,nsga2
VAE,0.04649570024810685,0.10014567000820002,nsga2
VAE,0.05642765462898843,0.13532674510607565,nsga2
VAE,0.060808090367109324,0.14735338481027524,nsga2
VAE,0.055804473887423954,0.13417186620757893,nsga2
VAE,0.07359165624790222,0.17883636972671177,nsga2
VAE,0.07935895028050732,0.21356801146012536,nsga2
VAE,0.049531956923693936,0.11160240138271138,nsga2
VAE,0.04926282233371799,0.1076564900035305,nsga2
VAE,0.04444693118916657,0.09041926091231686,nsga2
PCA,0.04281381477642484,0.08393781858942947,nsga2
PCA,0.05106366531882457,0.11446534398887516,nsga2
PCA,0.039610133400154963,0.07039085383805724,nsga2
PCA,0.06797673800846091,0.16755181596690008,nsga2
PCA,0.04163168323326898,0.07879775651738896,nsga2
PCA,0.07431726071121554,0.16937450938017998,nsga2
PCA,0.04092591490896192,0.07528626462828764,nsga2
PCA,0.05195057350655959,0.1135714979873783,nsga2
PCA,0.045971527985134875,0.0968745483504409,nsga2
PCA,0.08767059523247586,0.18953838784354268,nsga2
PCA,0.07743328635708839,0.18308258517096007,nsga2
PCA,0.08043316286019107,0.18524053453850428,nsga2
PCA,0.0876717587687492,0.19168250416270288,nsga2
PCA,0.07835642968153768,0.18179584805144952,nsga2
PCA,0.04941404537651898,0.10913700365438318,nsga2
PCA,0.051796692223276763,0.11920257166377701,nsga2
PCA,0.09803850619913458,0.20701118660857878,nsga2
PCA,0.1401885658088019,0.26891702664111033,nsga2
PCA,0.04239683804811991,0.07845321201032245,nsga2
PCA,0.041485055045298,0.07761984045924569,nsga2
PCA,0.044256622754784786,0.08868076814617923,nsga2
PCA,0.14028719528534872,0.26774989560690043,nsga2
PCA,0.04735632559747541,0.10143753358433115,nsga2
PCA,0.04133658961605344,0.07665262803820684,nsga2
PCA,0.04287416796529453,0.08371408724758847,nsga2
PCA,0.054013991181442934,0.11883806179861832,nsga2
PCA,0.0775239412896031,0.17841100032006077,nsga2
PCA,0.04458668704446992,0.09004124150262259,nsga2
PCA,0.05093496042288553,0.1157813258253473,nsga2
PCA,0.04968444100188354,0.11042534088809909,nsga2
PCA,0.0830402213259691,0.18567687740564262,nsga2
PCA,0.04491862365211389,0.09135024508767745,nsga2
PCA,0.05339423665964958,0.11772080847767842,nsga2
PCA,0.04403086337558396,0.08656709858490097,nsga2
PCA,0.04391374530072618,0.08725957278547007,nsga2
PCA,0.03874198954828359,0.0676471238996788,nsga2
PCA,0.09571411936856628,0.20035366981357858,nsga2
PCA,0.04657802200962994,0.09947705950598361,nsga2
PCA,0.054869808950143886,0.12613249820395672,nsga2
PCA,0.04752842016171294,0.09758638312498996,nsga2
PCA,0.05846800350337161,0.13065591474364596,nsga2
PCA,0.04421904698393737,0.08946010859520927,nsga2
PCA,0.2159876300289315,0.3550985832471749,nsga2
PCA,0.2159876300289315,0.3550985832471749,nsga2
PCA,0.1507603132991093,0.2734455682978899,nsga2
PCA,0.17245112717535147,0.3074639840700033,nsga2
PCA,0.07641592935118857,0.18050837501111047,nsga2
PCA,0.0431961176379051,0.08517993314806703,nsga2
PCA,0.06989495724268448,0.16904288684658422,nsga2
PCA,0.08231040431747101,0.17460535071066358,nsga2
Raw,0.07650430018580945,0.15905995757280433,nsga2
Raw,0.06427616714949813,0.13411971796669947,nsga2
Raw,0.07761953762596314,0.16322776870612332,nsga2
Raw,0.04822086506395072,0.09735526098343403,nsga2
Raw,0.04962068737009472,0.10373468675126378,nsga2
Raw,0.04434643687543166,0.08573558906229012,nsga2
Raw,0.07224293969153267,0.15102420810129377,nsga2
Raw,0.054373344850884166,0.11348327811622506,nsga2
Raw,0.05084154267882979,0.10518398568245692,nsga2
Raw,0.05752750780560858,0.1255705314594827,nsga2
Raw,0.05463977722268289,0.11165352508286912,nsga2
Raw,0.04022897534942282,0.07160006208883393,nsga2
Raw,0.04597877626019087,0.08917139288631547,nsga2
Raw,0.06830837543897358,0.14009646602050072,nsga2
Raw,0.0559942204236277,0.11521773146793508,nsga2
Raw,0.05272276682177017,0.10907869369064206,nsga2
Raw,0.0902402062086976,0.17351525478037527,nsga2
Raw,0.08407303581310295,0.1732405567531373,nsga2
Raw,0.07034237050932687,0.14969219101047537,nsga2
Raw,0.08520538257407465,0.1747596722342725,nsga2
Raw,0.04813301432535492,0.09719477337938962,nsga2
Raw,0.04930831251795865,0.10128918527586295,nsga2
Raw,0.058102482977754145,0.12883544038890682,nsga2
Raw,0.05391376900709187,0.11023113760144927,nsga2
Raw,0.07678651877287812,0.15887542502468016,nsga2
Raw,0.08585898252766698,0.16978183565670807,nsga2
Raw,0.06027764257111655,0.13479907619146916,nsga2
Raw,0.0997575535011395,0.19207638472176014,nsga2
Raw,0.053911239341913844,0.11404577224471078,nsga2
Raw,0.09819717999014536,0.1882195256492654,nsga2
Raw,0.04490334495319817,0.08817940362078125,nsga2
Raw,0.0774833154713507,0.1652649460828205,nsga2
Raw,0.09879214590404284,0.1899148361028856,nsga2
Raw,0.04866532237676631,0.1002059343908793,nsga2
Raw,0.07128253277044501,0.1494764365719424,nsga2
Raw,0.05325352797976152,0.10832179162219828,nsga2
Raw,0.04558986399499619,0.0882655437639332,nsga2
Raw,0.10229857864065844,0.19392817755241754,nsga2
Raw,0.055624534664560625,0.11930112726152384,nsga2
Raw,0.048728198426375796,0.09984094986135357,nsga2
Raw,0.0461991574308003,0.08926355433374811,nsga2
Raw,0.0778725096027457,0.15924982587136158,nsga2
Raw,0.09992698423420662,0.19202967542165486,nsga2
Raw,0.06208813434613622,0.1343503264076652,nsga2
Raw,0.06655965829130603,0.14147652596029686,nsga2
Raw,0.07182076951557996,0.15529848924061798,nsga2
Raw,0.05907124636112726,0.12781027179399235,nsga2
Raw,0.08120112873562169,0.1698993387285879,nsga2
Raw,0.07847863939502005,0.1640047846813877,nsga2
Raw,0.09984375811402472,0.19185476199125762,nsga2
